filename,variables,clauses,instance_size,naive_status,naive_time,naive_nodes,moms_status,moms_time,moms_nodes,cdcl_status,cdcl_time,cdcl_nodes,file_number
../Res/generated_sat_001.cnf,5,21,26,SAT,0.0,40.0,SAT,0.0,28.0,SAT,0.0,514,1.0
../Res/generated_sat_002.cnf,11,46,57,SAT,0.0,1526.0,SAT,0.0,676.0,SAT,0.0,2464,2.0
../Res/generated_sat_003.cnf,18,76,94,SAT,0.01,18816.0,SAT,0.01,3773.0,SAT,0.0,1182,3.0
../Res/generated_sat_004.cnf,25,106,131,SAT,8.29,27492971.0,TIMEOUT,,,SAT,0.0,4277,4.0
../Res/generated_sat_005.cnf,31,132,163,TIMEOUT,,,TIMEOUT,,,SAT,0.0,963,5.0
../Res/2bitcomp_5.cnf,125,310,435,TIMEOUT,,,TIMEOUT,,,SAT,0.0,1514,5.0
../Res/2bitmax_6.cnf,252,766,1018,TIMEOUT,,,TIMEOUT,,,SAT,0.05,17252,6.0
../Res/generated_sat_006.cnf,38,161,199,TIMEOUT,,,TIMEOUT,,,UNSAT,0.59,1000000,6.0
../Res/generated_sat_007.cnf,45,191,236,TIMEOUT,,,TIMEOUT,,,SAT,0.13,103606,7.0
../Res/generated_sat_008.cnf,52,221,273,TIMEOUT,,,TIMEOUT,,,SAT,0.32,250391,8.0
../Res/generated_sat_009.cnf,58,247,305,TIMEOUT,,,TIMEOUT,,,UNSAT,0.91,1000000,9.0
../Res/generated_sat_010.cnf,65,276,341,TIMEOUT,,,TIMEOUT,,,UNSAT,0.9,1000000,10.0
../Res/generated_sat_011.cnf,72,306,378,TIMEOUT,,,TIMEOUT,,,SAT,0.11,74588,11.0
../Res/generated_sat_012.cnf,78,332,410,TIMEOUT,,,TIMEOUT,,,UNSAT,1.45,1000000,12.0
../Res/generated_sat_013.cnf,85,362,447,TIMEOUT,,,TIMEOUT,,,UNSAT,0.99,1000000,13.0
../Res/generated_sat_014.cnf,92,391,483,TIMEOUT,,,TIMEOUT,,,UNSAT,1.07,1000000,14.0
../Res/generated_sat_015.cnf,99,421,520,TIMEOUT,,,TIMEOUT,,,UNSAT,1.62,1000000,15.0
../Res/generated_sat_016.cnf,105,447,552,TIMEOUT,,,TIMEOUT,,,UNSAT,1.42,1000000,16.0
../Res/generated_sat_017.cnf,112,477,589,TIMEOUT,,,TIMEOUT,,,UNSAT,1.18,1000000,17.0
../Res/generated_sat_018.cnf,119,506,625,TIMEOUT,,,TIMEOUT,,,UNSAT,1.66,1000000,18.0
../Res/generated_sat_019.cnf,126,536,662,TIMEOUT,,,TIMEOUT,,,UNSAT,1.22,1000000,19.0
../Res/generated_sat_020.cnf,132,562,694,TIMEOUT,,,TIMEOUT,,,UNSAT,1.35,1000000,20.0
../Res/generated_sat_021.cnf,139,592,731,TIMEOUT,,,TIMEOUT,,,UNSAT,1.97,1000000,21.0
../Res/generated_sat_022.cnf,146,621,767,TIMEOUT,,,TIMEOUT,,,UNSAT,1.59,1000000,22.0
../Res/generated_sat_023.cnf,152,647,799,TIMEOUT,,,TIMEOUT,,,UNSAT,1.67,1000000,23.0
../Res/generated_sat_024.cnf,159,677,836,TIMEOUT,,,TIMEOUT,,,UNSAT,1.69,1000000,24.0
../Res/generated_sat_025.cnf,166,707,873,TIMEOUT,,,TIMEOUT,,,UNSAT,2.0,1000000,25.0
../Res/generated_sat_026.cnf,173,736,909,TIMEOUT,,,TIMEOUT,,,UNSAT,2.06,1000000,26.0
../Res/generated_sat_027.cnf,179,762,941,TIMEOUT,,,TIMEOUT,,,UNSAT,1.58,1000000,27.0
../Res/generated_sat_028.cnf,186,792,978,TIMEOUT,,,TIMEOUT,,,UNSAT,2.16,1000000,28.0
../Res/generated_sat_029.cnf,193,822,1015,TIMEOUT,,,TIMEOUT,,,UNSAT,2.25,1000000,29.0
../Res/generated_sat_030.cnf,200,852,1052,TIMEOUT,,,TIMEOUT,,,UNSAT,2.07,1000000,30.0
